-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
All files          |    4.91 |      7.6 |    1.51 |    4.91 |                   
 src               |       0 |        0 |       0 |       0 |                   
  gemini.tsx       |       0 |        0 |       0 |       0 | 1-491             
  ...ractiveCli.ts |       0 |        0 |       0 |       0 | 1-377             
  ...liCommands.ts |       0 |        0 |       0 |       0 | 1-205             
  ...ActiveAuth.ts |       0 |        0 |       0 |       0 | 1-97              
 src/commands      |       0 |        0 |       0 |       0 |                   
  extensions.tsx   |       0 |        0 |       0 |       0 | 1-36              
  mcp.ts           |       0 |        0 |       0 |       0 | 1-27              
 ...nds/extensions |       0 |        0 |       0 |       0 |                   
  disable.ts       |       0 |        0 |       0 |       0 | 1-70              
  enable.ts        |       0 |        0 |       0 |       0 | 1-75              
  install.ts       |       0 |        0 |       0 |       0 | 1-97              
  link.ts          |       0 |        0 |       0 |       0 | 1-55              
  list.ts          |       0 |        0 |       0 |       0 | 1-36              
  new.ts           |       0 |        0 |       0 |       0 | 1-109             
  uninstall.ts     |       0 |        0 |       0 |       0 | 1-47              
  update.ts        |       0 |        0 |       0 |       0 | 1-151             
 ...les/mcp-server |       0 |        0 |       0 |       0 |                   
  example.ts       |       0 |        0 |       0 |       0 | 1-60              
 src/commands/mcp  |       0 |        0 |       0 |       0 |                   
  add.ts           |       0 |        0 |       0 |       0 | 1-232             
  list.ts          |       0 |        0 |       0 |       0 | 1-139             
  remove.ts        |       0 |        0 |       0 |       0 | 1-60              
 src/config        |   35.73 |    41.66 |       0 |   35.73 |                   
  auth.ts          |       0 |        0 |       0 |       0 | 1-30              
  config.ts        |       0 |        0 |       0 |       0 | 1-969             
  extension.ts     |    5.08 |        0 |       0 |    5.08 | ...47-767,770-788 
  keyBindings.ts   |       0 |        0 |       0 |       0 | 1-175             
  sandboxConfig.ts |       0 |        0 |       0 |       0 | 1-105             
  settings.ts      |   17.85 |       75 |       0 |   17.85 | ...16-838,841-864 
  ...ingsSchema.ts |   99.81 |      100 |       0 |   99.81 | 1217-1218         
  ...tedFolders.ts |   16.25 |      100 |       0 |   16.25 | ...93-220,223-237 
  webSearch.ts     |       0 |        0 |       0 |       0 | 1-121             
 ...fig/extensions |    7.07 |        0 |       0 |    7.07 |                   
  ...Enablement.ts |    9.65 |        0 |       0 |    9.65 | ...83-106,109-239 
  github.ts        |    3.69 |      100 |       0 |    3.69 | ...85-314,329-431 
  update.ts        |       0 |        0 |       0 |       0 | 1-182             
  ...ableSchema.ts |     100 |      100 |     100 |     100 |                   
  variables.ts     |   11.62 |      100 |       0 |   11.62 | 24-33,36-43,46-65 
