-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
All files          |     1.2 |    28.57 |   13.59 |     1.2 |                   
 src               |       0 |        0 |       0 |       0 |                   
  index.ts         |       0 |        0 |       0 |       0 | 1-131             
 src/__mocks__/fs  |       0 |        0 |       0 |       0 |                   
  promises.ts      |       0 |        0 |       0 |       0 | 1-48              
 src/code_assist   |       0 |        0 |       0 |       0 |                   
  codeAssist.ts    |       0 |        0 |       0 |       0 | 1-54              
  converter.ts     |       0 |        0 |       0 |       0 | 1-285             
  ...al-storage.ts |       0 |        0 |       0 |       0 | 1-130             
  oauth2.ts        |       0 |        0 |       0 |       0 | 1-563             
  server.ts        |       0 |        0 |       0 |       0 | 1-253             
  setup.ts         |       0 |        0 |       0 |       0 | 1-124             
  types.ts         |       0 |        0 |       0 |       0 | 1-160             
 src/config        |       0 |        0 |       0 |       0 |                   
  config.ts        |       0 |        0 |       0 |       0 | 1-1227            
  constants.ts     |       0 |        0 |       0 |       0 | 1-22              
  models.ts        |       0 |        0 |       0 |       0 | 1-52              
  storage.ts       |       0 |        0 |       0 |       0 | 1-120             
 src/core          |       0 |     8.33 |    8.33 |       0 |                   
  baseLlmClient.ts |       0 |        0 |       0 |       0 | 1-198             
  client.ts        |       0 |        0 |       0 |       0 | 1-735             
  ...tGenerator.ts |       0 |        0 |       0 |       0 | 1-213             
  ...lScheduler.ts |       0 |        0 |       0 |       0 | 1-1273            
  geminiChat.ts    |       0 |        0 |       0 |       0 | 1-657             
  geminiRequest.ts |       0 |        0 |       0 |       0 | 1-19              
  logger.ts        |       0 |        0 |       0 |       0 | 1-448             
  ...tGenerator.ts |       0 |        0 |       0 |       0 | 1-208             
  ...olExecutor.ts |       0 |        0 |       0 |       0 | 1-51              
  prompts.ts       |       0 |        0 |       0 |       0 | 1-855             
  tokenLimits.ts   |       0 |      100 |     100 |       0 | 11-248            
  turn.ts          |       0 |        0 |       0 |       0 | 1-394             
 ...ntentGenerator |   16.82 |    84.12 |   73.68 |   16.82 |                   
  constants.ts     |     100 |      100 |     100 |     100 |                   
  converter.ts     |    0.64 |        0 |       0 |    0.64 | 62-1100           
  errorHandler.ts  |       0 |        0 |       0 |       0 | 1-129             
  index.ts         |       0 |        0 |       0 |       0 | 1-111             
  ...tGenerator.ts |       0 |      100 |     100 |       0 | 3-157             
  pipeline.ts      |    96.5 |    91.22 |     100 |    96.5 | ...97-298,403-407 
  ...CallParser.ts |     1.3 |        0 |       0 |     1.3 | 35-434            
  ...tryService.ts |       0 |        0 |       0 |       0 | 1-262             
